고사 일자,대학명,모집 및 세부 학과,고사 시간,언어논술 제시문 및 답안 유형,수리논술 범위 및 난이도,수능 최저학력기준,전형 비율 (논술:교과:비교과),수리가중치
11.29.(일),가천대,의·한·약학,80분,약술형(국0 / 수8),미+서술,"의:3합 3 /한:2합 2 /약:3합 5(미,기) ",100:-:-,1
11.30.(월),가천대,"간호, 바이오로직스 등",80분,약술형(국8 / 수5),"수Ⅰ, 수Ⅱ",1개 3 / 바이오 2합 5,100:-:-,0
11.30.(월),가천대,인문,80분,약술형(국8 / 수5),"수Ⅰ, 수Ⅱ",1개 3,100:-:-,0
12.01.(화),가천대,자연,80분,약술형(국5 / 수8),"수Ⅰ, 수Ⅱ",1개 3,100:-:-,0
10.11.(일),가톨릭대,자연 / 간호,10:00~11:30 (09:30 입실),정보 없음,미,3합7(간호),100 : - : -,1
10.11.(일),가톨릭대,인문,15:00~16:30 (14:30 입실),단문형 (2~500자),해당 없음,없음,100 : - : -,0
11.22.(일),가톨릭대,의예과 / 약학과,10:00~11:40 (09:30 입실),정보 없음,"미, 확(중상)","4합 5(의예), 탐구 2평",100 : - : -,3
11.28.(토),강남대,자연,60분,약술형(국3 / 수7),"수Ⅰ, 수Ⅱ",없음,,0
11.28.(토),강남대,자유전공학부,60분,약술형(국5 / 수5),"수Ⅰ, 수Ⅱ",없음,,0
11.28.(토),강남대,인문·사회,60분,약술형(국8 / 수2),"수Ⅰ, 수Ⅱ",없음,,0
11.21.(토),건국대,인문·통합,09:20~11:00,"수리형, 중문형 (6~800자)",해당 없음,"2~3합 5, 탐구(1) , 한국사 5",100 : - : -,0
11.21.(토),건국대,수의예과,14:00~15:40,정보 없음,"미, 확, 기(중상)"," 3합 4, 탐구(1) , 한국사 5",100:-:-,4
11.21.(토),건국대,자연,14:00~15:40,정보 없음,"미, 확, 기(중상)"," 2합 5, 탐구(1) , 한국사 5",100:-:-,4
11.27.(금),경기대,인문,100분,중문형(6~800),정보 없음,"없음, 수원실시",90:10:-,0
11.27.(금),경기대,자연,100분,해당 없음,"수Ⅰ, 수Ⅱ","없음, 수원실시",90:10:-,0
11.28.(토),경북대,인문,09:30~11:10,"통계, 단문형 (2~500자)",해당 없음," 2합 5~6, 탐구(1) ",70:30:-,0
11.28.(토),경북대,자연 Ⅰ / Ⅱ,15:30 / 16:30 시작,정보 없음,"미, 확(중상), 기(상)"," 2합 5~6, 탐구(1) ",70:30:-,6
11.28.(토),경북대,"의예, 치의예, 수의예",16:30~18:10,정보 없음,"미, 확(중상), 기(상)"," 합 5, 탐구(1) ",70:30:-,6
