대학명,지역구분,계열구분,학과명,논술점수,100점만점환산,시험구분,대학평균환산점수,합격점수라인의미,메디컬여부,인기학과태그,대학시험별평균점수,최저여부,합격자평균점,70%Cut,최저점_커트라인,수능수학_합격자_중앙값,수능수학_합격자_평균,수능수학_합격자_최빈값,수능수학_합격자_표본수,수능수학_불합격자_중앙값,수능수학_불합격자_평균,수능수학_불합격자_최빈값,수능수학_불합격자_표본수
가천대,수도권,IT/컴퓨터계열,클라우드공학과,127.0,84.67,시험 2,73.93,약술형(교과형) - EBS 연계 단답형 및 계산 중심 실수방지 라인,N,일반학과,73.27,Y,83.33,81.33,76.67,,,,,,,,
가천대,수도권,의약보건계열,방사선학과,123.0,82.0,시험 2,73.93,약술형(교과형) - EBS 연계 단답형 및 계산 중심 실수방지 라인,N,일반학과,73.27,Y,,,,,,,,,,,
가천대,수도권,의약보건계열,의예과,123.0,82.0,시험 2,73.93,약술형(교과형) - EBS 연계 단답형 및 계산 중심 실수방지 라인,Y,메디컬,73.27,Y,,,,99.0,98.3,100.0,50.0,,,,
가천대,수도권,인문사회/기타계열,패션산업학과,120.0,80.0,시험 1,73.93,약술형(교과형) - EBS 연계 단답형 및 계산 중심 실수방지 라인,N,일반학과,75.54,Y,,,,,,,,,,,
가천대,수도권,의약보건계열,간호학과,118.5,79.0,시험 1,73.93,약술형(교과형) - EBS 연계 단답형 및 계산 중심 실수방지 라인,N,간호,75.54,Y,87.33,85.33,80,,,,,,,,
가천대,수도권,IT/컴퓨터계열,미디어커뮤니케이션학과,117.0,78.0,시험 2,73.93,약술형(교과형) - EBS 연계 단답형 및 계산 중심 실수방지 라인,N,일반학과,73.27,Y,80,76.67,72,,,,,,,,
가천대,수도권,IT/컴퓨터계열,AI인문대학,117.0,78.0,시험 1,73.93,약술형(교과형) - EBS 연계 단답형 및 계산 중심 실수방지 라인,N,AI·컴퓨터,75.54,Y,,,,,,,,,,,
가천대,수도권,인문사회/기타계열,법과대학,117.0,78.0,시험 1,73.93,약술형(교과형) - EBS 연계 단답형 및 계산 중심 실수방지 라인,N,일반학과,75.54,Y,,,,,,,,,,,
가천대,수도권,자연과학계열,응용통계학과,116.0,77.33,시험 1,73.93,약술형(교과형) - EBS 연계 단답형 및 계산 중심 실수방지 라인,N,일반학과,75.54,Y,,,,,,,,,,,
가천대,수도권,인문사회/기타계열,유아교육학과,115.0,76.67,시험 1,73.93,약술형(교과형) - EBS 연계 단답형 및 계산 중심 실수방지 라인,N,일반학과,75.54,Y,,,,,,,,,,,
가천대,수도권,의약보건계열,물리치료학과,115.0,76.67,시험 2,73.93,약술형(교과형) - EBS 연계 단답형 및 계산 중심 실수방지 라인,N,일반학과,73.27,Y,83.33,80.67,76.67,,,,,,,,
가천대,수도권,건축/토목계열,건축학부,114.0,76.0,시험 2,73.93,약술형(교과형) - EBS 연계 단답형 및 계산 중심 실수방지 라인,N,일반학과,73.27,Y,,,,,,,,,,,
가천대,수도권,인문사회/기타계열,경영학과,113.0,75.33,시험 1,73.93,약술형(교과형) - EBS 연계 단답형 및 계산 중심 실수방지 라인,N,일반학과,75.54,Y,78.67,74.67,70,,,,,,,,
가천대,수도권,인문사회/기타계열,의료산업경영학과,113.0,75.33,시험 1,73.93,약술형(교과형) - EBS 연계 단답형 및 계산 중심 실수방지 라인,N,일반학과,75.54,Y,,,,,,,,,,,
가천대,수도권,공학계열,화공생명배터리공학부,113.0,75.33,시험 2,73.93,약술형(교과형) - EBS 연계 단답형 및 계산 중심 실수방지 라인,N,일반학과,73.27,Y,,,,,,,,,,,
가천대,수도권,공학계열,바이오나노학과,113.0,75.33,시험 2,73.93,약술형(교과형) - EBS 연계 단답형 및 계산 중심 실수방지 라인,N,일반학과,73.27,Y,,,,,,,,,,,
가천대,수도권,인문사회/기타계열,심리학과,112.0,74.67,시험 1,73.93,약술형(교과형) - EBS 연계 단답형 및 계산 중심 실수방지 라인,N,일반학과,75.54,Y,,,,,,,,,,,
가천대,수도권,공학계열,기계공학부,112.0,74.67,시험 2,73.93,약술형(교과형) - EBS 연계 단답형 및 계산 중심 실수방지 라인,N,일반학과,73.27,Y,,,,,,,,,,,
가천대,수도권,공학계열,신소재공학과,111.0,74.0,시험 2,73.93,약술형(교과형) - EBS 연계 단답형 및 계산 중심 실수방지 라인,N,일반학과,73.27,Y,,,,,,,,,,,
가천대,수도권,공학계열,전기공학과,110.5,73.67,시험 2,73.93,약술형(교과형) - EBS 연계 단답형 및 계산 중심 실수방지 라인,N,일반학과,73.27,Y,,,,,,,,,,,
가천대,수도권,IT/컴퓨터계열,금융·빅데이터학부,110.0,73.33,시험 2,73.93,약술형(교과형) - EBS 연계 단답형 및 계산 중심 실수방지 라인,N,AI·컴퓨터,73.27,Y,,,,,,,,,,,
가천대,수도권,인문사회/기타계열,경제학과,110.0,73.33,시험 1,73.93,약술형(교과형) - EBS 연계 단답형 및 계산 중심 실수방지 라인,N,일반학과,75.54,Y,,,,,,,,,,,
가천대,수도권,자연과학계열,바이오로직스학과,110.0,73.33,시험 2,73.93,약술형(교과형) - EBS 연계 단답형 및 계산 중심 실수방지 라인,N,일반학과,73.27,Y,,,,,,,,,,,
가천대,수도권,건축/토목계열,건축공학과,109.0,72.67,시험 2,73.93,약술형(교과형) - EBS 연계 단답형 및 계산 중심 실수방지 라인,N,일반학과,73.27,Y,,,,,,,,,,,
가천대,수도권,IT/컴퓨터계열,컴퓨터공학과,109.0,72.67,시험 2,73.93,약술형(교과형) - EBS 연계 단답형 및 계산 중심 실수방지 라인,N,AI·컴퓨터,73.27,Y,,,,,,,,,,,
가천대,수도권,공학계열,반도체대학,109.0,72.67,시험 2,73.93,약술형(교과형) - EBS 연계 단답형 및 계산 중심 실수방지 라인,N,반도체,73.27,Y,,,,,,,,,,,
가천대,수도권,인문사회/기타계열,회계세무학과,108.0,72.0,시험 1,73.93,약술형(교과형) - EBS 연계 단답형 및 계산 중심 실수방지 라인,N,일반학과,75.54,Y,,,,,,,,,,,
가천대,수도권,인문사회/기타계열,관광경영학과,108.0,72.0,시험 1,73.93,약술형(교과형) - EBS 연계 단답형 및 계산 중심 실수방지 라인,N,일반학과,75.54,Y,,,,,,,,,,,
